question,label
stroom = int(input("Wat is de gebruikte stroom in kiloWatt?"))nnstroom1 = print(f"De eerste {stroom + 100 - stroom} kiloWatt is gratis.")nnstroom2 = (f"{(stroom + 100 - stroom) * 5} ")nnprint(f"De tweede 100 kiloWatt is {stroom2}")nnstroom3 = (f"{(stroom - 200) * 10}")nnprint(f"De rest van de kiloWatt ({stroom - 200}) kost nog {(stroom - 200) * 10} euro")nnstroom_totaal = (f"{stroom2 + stroom3}")nnprint(f"Uw kosten zijn dus {stroom_totaal}")  bij de laatste regel print de code niet het eindgetal bij elkaar opgeteld,3
'print("Hallo " + Naam + " , over 10 jaar ben je" + [Leeftijd + 10] + " jaar oud!" )   : wat is hier fout?',3
'Antwoord1 = janngok = int(input("Kies een random getal tussen de 1 en de 10: "))nnif gok < 5:nn    print("Je hebt onder de 5 gegokt!")nnif gok > 5:nn    print("Je hebt te hoog gegokt!")nnif gok == 5:nn    print("Dat is goed!")nngok1 = input("Ja of Nee?")nnif gok1 == Antwoord1:nn    print("Gefeliciteerd, u wint 10.000 euro")nnif gok1 != Antwoord1:nn    print("Helaas, u bent zojuist 10.000 euro misgelopen...")     : wat is hier fout',3
'import randomnnimport timennwapens = ["slipper", "boog", "knuppel", "zwaard", "pistool"] nnprint("Er komt een zombie aan! Kies je wapen!")nnk1 = int(input("Kies 1 als je uit de lijst wil kiezen, en 2 voor een nieuw wapen"))nn    nnwhile True:nn    if k1 == 1:nn        b1 = random.choice(wapens)nn        zwakte = [b1]nn        print(wapens)nn        k2 = input("Welk wapen wil je kiezen")nn   nn        while True:nn            if k2 != zwakte:nn                print("Je hebt de zombie verslagen!")nn                breaknn            elif k2 == zwakte:nn                print("De zombie kan daar tegen!")nn                k2 = input("Welk wapen wil je kiezen")nn    elif k1 == 2:nn        w = input("Welk wapen wil je toevoegen?")nn        wapens.append(w)nn        b1 = random.choice(wapens)nn        zwakte = [b1]nn        print(wapens)nn        k2 = input("Welk wapen wil je kiezen")nn        nn        while True:nn            if k2 != zwakte:nn                print("Je hebt de zombie verslagen!")nn                breaknn            elif k2 == zwakte:nn                print("De zombie kan daar tegen!")nn                k2 = input("Welk wapen wil je kiezen")nn    print("")nn    v1 = input("Wil je door gaan?")nn    if v1 == "Ja"or "ja":nn        print("")nn        print("Er komt een zombie aan! Kies je wapen!")nn        k1 = int(input("Kies 1 als je uit de lijst wil kiezen, en 2 voor een nieuw wapen"))nn    else:nn        breaknn    nnprint("Oké")nn    hoe stop je de hele code na "wil je door gaan?" = nee',3
'waarom doet deze code het niet wachtwoord = ("Hallo1234")nncounter = 0nnpersoon = input("wat denk je dat het wachtwoord is")nnwhile (wachtwoord) != (persoon):nn    print ("fout, probeer het opnieuw")nninput("probeer het opnieuw")nncounter =+ 1 nn    nnelse:nn    print("gefeliciteerd je hebt het geraden")nnprint (counter)',3
'waarom geeft hij errors = int(input("Wat is je salaris?"))nnwel = input("zou jij je werkdruk hoog of laag beschouwen?")nnif s > 100000 and wel == (laag):nn    print("Wat een baan!")nnelif s > 100000 and wel == (hoog):nn    print("hard werken maar veel geld!")nnelif s  < 100000 and s >= 40000 and wel == (laag):nn    print("goed salaris voor het werk dat je doet!")nnelif s  > 100000 and s >= 40000 and wel == (hoog):nn    print("hard werken maar zeker een prima salaris!")nnelif s < 40000 and wel == (hoog):nn    print("Hard werken en niet veel salaris helaas...")nnelif s < 40000 and wel == (laag):nn    print("niet heel veel salaris, misschien wat harder gaan werken?")nnelse:nn    print("voer echt hoog of laag in")',3
wat is er fout aan deze codennif getal >= 1 and getal <= 5:nn    print("goedzo")nnelif ("getal <= 1 and >= 5")nn    print("dit klopt niet"),3
wat klopt hier niet aan if getal >= 1 and getal <= 5:nn    print("goedzo")nnelif getal <= 1 and >= 5:nn    print("dit klopt niet"),3
wat klopt hier niet aannngetal = int(input("vul een getal in: "))nnif getal >= 1 and getal <= 5:nn    print("goedzo")nnelif getal < 1 or getal > 5:nn    print("dit klopt niet")nnelse: nn    print("vul een getal in"),3
'waarom werkt deze code nietnngames = ["Minecraft", "Rust", "GTA V", "Hayday", "Clash of clans"]nngames.append ("super mario bros")nnprint (games) nnprint(games[int(input("noem een getal van 0 tot en met 5"))])nnprint(int(input("noem een game")))nnif game in games:nn    games.remove("game")nnelse:nn    games.append("game")nnprint(games)',3
'waarom werkt deze code niet  Opdracht 2 - Lijst Bewerkennngames = ["Minecraft", "Rust", "GTA V", "Hayday", "Clash of Clans"]nngames.append("Super Mario Bros")nnprint(games) nnprint(games[int(input("noem een getal van 0 tot 6"))])nngame=input("noem een game:")nnif game in games:nn    games.remove(game)nnelse:nn    games.append(game)nnprint(games)',3
wat is hier fout aan lengte=input("wat is de lengte")nnbreedte=input("wat is de breedte")nnoppervlakte= lengte*breedtennprint ("oppervlakte in een zin"),3
getal1 = int(input("vul een getal in"))nngetal2 = int(input("vul een getal in"))nngetal3 = int(input("vul een getal in"))nn    if getal1 >=1 and getal1 <=100:nn        print("wat ene mooi getal")nn                 WAT IS HIER FOUT AAN,3
Gegeven is een lege lijst.shnnVoeg met behulp van een while loop de getallen 1 tot en met 10 aan deze lijst toe!nnPrint hierna de lijst met getallen. wat moet er beter getallen = []nni = 1nnWhile i <= 10:nn    print(i)nn    getallen.append(i)nn    i += 1nnprint (getallen),3
'whatis wrong with this code: naam = int(input("wat is je naam?"))nnleeftijd = int(input("hoe oud ben je?"))nnprint("Hallo {naam}, over 10 jaar ben je {leeftijd + 10}!")',3
'what is wrong with this code:nnwachtwoord = input("wat is het wachtwoord")nnif wachtwoord > 1234:nn    print("incorrect wachtwoord, probeer het opnieuw!")nnif wachtwoord < 1234:nn    print("incorrect wachtwoord, probeer het opnieuw!")nnif wachtwoord == 1234:nn    print("correct wachtwoord, je bent ingelogd!")',3
how do i fix this?nn temp = int(input("hoe warm is het"))nnmeetstelsel = str(input("is dit in Celsius of in Fahrenheit"))nnCelsius = str(print(temp * 1.8 + 32))nnFahrenheit = str(print((temp - 32)*0.5556))nnif meetstelsel == Celsius:nn    print("Dat is: "(temp - 32* o.5556) print(" in graden Fahrenheit"),3
why is my code not workingnngetal1 = int(input("noem een getal"))nngetal2 = int(input("noem nog een getal"))nngetal3 = int(input("noem nog een getal"))nnif getal1 > getal2 and getal3:nn    print(getal1)nnelif getal2 > getal1 and getal3:nn    print(getal2)nnelse:nn    print(getal3),3
what is wrong with this codenngetal1 = int(input("noem een getal")nnwhile getal1 >= 1 or getal1 <= 20 nn    print(getal1)nn    getal = int(input("noem een getal"),3
what is wrong with this code?: getal1 = int(input("noem een getal")nnwhile getal1 >= 1 or getal1 <= 20 nn    print(getal1)nn    getal = int(input("noem een getal"),3
getallen = ["0"]nnattempts = 0nnwhile "10" not in getallen:nn    print(getallen)nn    attempts = attempts + 1nn    getallen.append(attempts + 1)nnwhats wrpng in this code?,3
'games = ["Minecraft", "Rust", "GTA V", "Hayday", "Clash of clans"]nnif [gameuser] in games:nn    games.remove(["gameuser"])nn    print(games)nnwhats wrong',3
'ik krijg deze fout:   Cell In[2], line 1     naam = "Thom" print("Hallo", naam)                   ^ SyntaxError: invalid syntax',4
it doesnt give me the custom error when i type a letter in can you fix that,4
'can you now make it so the error will change depending on what you type in de input function so if I type "Hello" it will say something like "Hello" is not a number, please try again',4
can you now make it that if I type a word or a sentence and the first character isnt a special letter it will make only the first letter of the first word a capital letter,4
It still wont capitalize the first letter of the first word i type when there is the first letter isnt a special letter,4
'can you also make it so it will correct the rest of the grammar when its types a sentence or a word, to make the grammar correct in the language its typed in, so add punctuation and missing letters, and if the program needs to correct grammar can you change the out put to "you typed that wrong here is {the correct grammar}, will you please try again and typ a number this time"',4
'it wont correct the grammar is there any way to fix that, for example when i type "Helo how is it gong with you toda" I want the program to check for grammar mistakes and then fix them to the correct grammar thats the following "Hello how is it going with you today"',4
can you make it so its written in python,4
Add a score,4
how can you make rock paper scissors?,4
Schrijf een programma dat vraagt om een getal tussen de 1 en 5.,4
Maak nu een programma dat om 3 getallen met inputs vraagt.,4
gebruik elif,4
wat verander ik als ik hetzelfde moet doen maar dan ben een driehoek,4
er zitten allemaal errors in verbeter zonder errors,4
'Regel 4 zorgt voor een error als je de code runt. Fix deze errornnZorg dat totaal1 ook geprint wordt aan het einde van het programmannMaak een nieuwe variabele, vermenigvuldig getal1 en getal2 en zet het resultaat hiervan in deze variabelennPrint getal1, getal2 en de nieuwe variabele op een nieuwe regel eronder',4
verbeter: lengte = float(input("Wat is de lengte van het rechthoek: "))nnbreedte = float(input("Wat is de breedte van het rechthoek: "))nnoppervlakte = lengte * breedtennprint("De oppervlakte van het rechthoek is" oppervlakte),4
doe het met if en elif,4
kan je dit kloppend maken?nnprint("#") print(4 * " ") print("#"),4
maak het zodat er na "*foutmelding*" en regel over wordt geslagen en dan de rest van de tekst komt.   print("*foutmelding* je kennie lezen"),4
prijs = int(input("Wat is de prijs van het eten? €"))nnfooi = float(input("Hoeveel procent fooi wilt u geven? "))nnprint(f"Dan wordt het {prijs} plus {fooi} % fooi is" + prijs + prijs* fooi +".") fix dit a.u.b.,4
ik moet een rechthoek tekenen met "#",4
gebruik een while loop,4
herschrijf de code zodat hij tot 10 telt,4
'wachtwoord1 = HoinnWachtwoord2 = int(input("Wat is het wachtwoord?"))nnif Wachtwoord1 == Wachtwoord2:nn    print("Correct wachtwoord, je bent ingelogd!")nnif wachtwoord1 != Wachtwoord2:nn    print("Incorrect wachtwoord, probeer het opnieuw")  : fix dit',4
temperatuur1 = int(input("Wat is de waarde van de temperatuur?"))nnzes = input("Is het in Fahrenheit of Celsius?")nnif zes == "Celsius":nn    print((temperatuur1 - 32) * 0.5556)nnif zes == "celsius":nn    print((temperatuur1 - 32) * 0.5556 + "Fahrenheit")nn: Fix dit,4
schrijf een code van dat je vragen in de input kunt zetten,4
'verbeternnimport randomnnrandom_getal = random.randint(1, 100)nncounter = 1nnuser_gok = input("wat denk je dat het getal is?")nnwhile (random_getal) != (user_gok):nn    print ("fout, probeer het opnieuw")nn    if random_getal > user_gok:nn        print ("het getal is groter")nn    elif random_getal < user_gok:nn        print("het getal is kleiner")nn    user_gok = input("Wat is het getal?")nn    counter += 1 nn    nnelse:nn    print("gefeliciteerd je hebt het geraden")nnprint (f"je hebt het gehaald in {counter} pogingen")',4
hoe maak je een vierkant die er zo uit ziet ########nn########nn########nn########nn########,4
'wat moet ik veranderen om deze error te verwijderen: TypeError                                 Traceback (most recent call last)nnCell In[30], line 3nn      1 wachtwoord = "HOI123"nn----> 3 ingevoerd_wachtwoord = input("Voer uw wachtwoord in: ")nn      5 if ingevoerd_wachtwoord == wachtwoord:nn      6     print("Correct wachtwoord, je bent ingelogd!")nnTypeError: "str" object is not callable',4
Maak een code voor een brawl stars stardrop simulator,4
Kan je de code nog geavanceerd gebruiken,4
Maak hem nog geavanceerder,4
'--------------------------------------------------------------------------nnValueError                                Traceback (most recent call last)nnCell In[9], line 52nn     50 # Simuleer meerdere dropsnn     51 for _ in range(10):nn---> 52     star_drop_simulator()nnCell In[9], line 36, in star_drop_simulator()nn     34 # Genereer een willekeurig sterrenniveau op basis van de dropkansennn     35 if huidig_evenement:nn---> 36     ster_niveau = random.choices(sterren, weights=huidig_evenement["drop_kansen"].values())[0]nn     37 else:nn     38     ster_niveau = random.choices(sterren, weights=drop_kansen.values())[0]nnFile /opt/conda/lib/python3.11/random.py:506, in Random.choices(self, population, weights, cum_weights, k)nn    504     raise TypeError("Cannot specify both weights and cumulative weights")nn    505 if len(cum_weights) != n:nn--> 506     raise ValueError("The number of weights does not match the population")nn    507 total = cum_weights[-1] + 0.0   # convert to floatnn    508 if total <= 0.0:nnValueError: The number of weights does not match the populationnnfix deze error',4
maak een code voor een super geavanceerde clicker simulator,4
'wat moet er beter aan Pas het volgende programma zo aan dat de getallen van de tafel van 6 naar de console worden geprint. In plaats van "Hier moet de tafel komen" komt er dus 6, 12, 18, enz.nn tafel = 6nncounter = 1nnwhile counter < 11:nn    print("Hier moet de tafel komen")nn    counter = counter + 1',4
'how do i make a code that sets fahrenheit to celsius if i have the formulas''',4
'hoe maak ik een if/elif code die vraagt om een getal en dan zegt of deze even, oneven of nul is',4
how about u do it again using a while loop,4
and also without the def and functions,4
'namen = ["Max", "Lisa", "Joost", "Merel"]nnprint("Kies een getal.")nnprint("1. Laat alle namen zien")nnprint("2. Voeg een naam toe")nnprint("3. Kies een naam uit de lijst")nnprint("4. Afsluiten")nngetal = int(input("Kies een getal."))nngetal1 = print("Max, Lisa, Joost, Merel")nngetal2 = namen.append(int(input("Voer een naam in.")))nngetal3 = nnif getal == 1:nn    print(getal1)nnif getal == 2:nn    print(getal2)nnzorg dat dit programma werkt.',4
Hoe maak ik opdracht 4 af?,4
'Print de getallen van 10 tot en met 1, begin bij 10 en eindig bij 1',4
wat betekend deze error? TypeError: unsupported operand type(s) for +: "int" and "str",5
TypeError: can only concatenate str (not "int") to str  what does this error mean?,5
wat betekent deze error? TypeError: unsupported operand type(s) for +: "int" and "str",5
wat betekent deze error? TypeError: can only concatenate str (not "int") to str,5
wat betekent deze error: TypeError: unsupported operand type(s) for +: "int" and "str",5
wat betekent de error TypeError: unsupported operand type(s) for +: "int" and "str",5
wat betekent de error TypeError: unsupported operand type(s) for +: "int" and "str",5
'what does th error message mean ? --------------------------------------------------------------------------- TypeError                                 Traceback (most recent call last) Cell In[1], line 4       2 y = 10       3 z = "4" ----> 4 print(x + y + z)  TypeError: unsupported operand type(s) for +: "int" and "str"',5
'--------------------------------------------------------------------------- ValueError                                Traceback (most recent call last) Cell In[10], line 2       1 # ----> 2 getal_of_string = int("hoi")       4 #       5 type(getal_of_string)  ValueError: invalid literal for int() with base 10: "hoi" wat is de error hier?',5
'Cell In[10], line 1     print(Ben ik nog steeds aan het programmeren?)           ^ SyntaxError: invalid syntax. Perhaps you forgot a comma? wat betekent deze error',5
en wat betekent de error,5
'wat betekent deze error:   Cell In[5], line 1     print(Ben ik nog steeds aan het programmeren?)           ^ SyntaxError: invalid syntax. Perhaps you forgot a comma?',5
hoe kan ik de error fixen,5
leg uit hoe de fout werkt en hoe ik het moet verbeteren,5
wat staat er bij de error en wat betekend dit,5
wat betekend de error TypeError: unsupported operand type(s) for +: "int" and "str",5
TypeError: unsupported operand type(s) for +: "int" and "str" what does this mean,5
wat betekent TypeError: can only concatenate str (not "int") to str,5
wat betekent deze error "SyntaxError: invalid syntax. Perhaps you forgot a comma?"?,5
what does typerror mean?,5
elif getal >=1 or <=5:nn                      ^nnSyntaxError: invalid syntax. Waaro geeft hij een error aan?,5
elif cijfer >= 1 or <= 10:nn                        ^nnSyntaxError: invalid syntax. Waarom is dit een error,5
'Cell In[15], line 3nn    while > 5:nn          ^nnSyntaxError: invalid syntax. waarom is dit een error',5
'wat betekent deze error nn---------------------------------------------------------------------------nnTypeError                                 Traceback (most recent call last)nnCell In[1], line 4nn      2 y = 10nn      3 z = "4"nn----> 4 print(x + y + z)nnTypeError: unsupported operand type(s) for +: "int" and "str"',5
'waarom werkt het niet?nn---------------------------------------------------------------------------nnTypeError                                 Traceback (most recent call last)nnCell In[1], line 4nn      2 y = 10nn      3 z = "4"nn----> 4 print(x + y + z)nnTypeError: unsupported operand type(s) for +: "int" and "str"',5
'---------------------------------------------------------------------------nnTypeError                                 Traceback (most recent call last)nnCell In[22], line 4nn      1 lengte = input("voer een lengte in van een rechthoek")nn      2 breete = input("voer een breete in van een rechthoek")nn----> 4 print(f"het oppervlackte van jouw rechthoek is {lengte*breete}")nnTypeError: can"t multiply sequence by non-int of type "str" what does this error mean?',5
'Cell In[10], line 9nn    else getal2 <= getal3 >= getal2:nn         ^nnSyntaxError: expected ":"nn waarom werkt hij niet',5
'wat moet ik doen om deze error te verwijderen TypeError                                 Traceback (most recent call last)nnCell In[32], line 3nn      1 wachtwoord = "HOI123"nn----> 3 wachtwoord2 = input("Voer uw wachtwoord in: ")nn      5 if wachtwoord2 == wachtwoord:nn      6     print("Correct wachtwoord, je bent ingelogd!")nnTypeError: "str" object is not callable',5
'Cell In[9], line 8nn    elif grade >= 5.5 and < 8:nn                          ^nnSyntaxError: invalid syntaxnnWhats wrong here?',5
Wat is deze error?,5
'Cell In[3], line 7nn    else getal1 < 0:nn         ^nnSyntaxError: expected ":" Wat is deze error?',5
'Cell In[21], line 24nn    print(f"Je hebt gekozen voor: {namen[keuze-1]}")nn                                                    ^nnIndentationError: expected an indented block after "if" statement on line 22 Wat is deze error?',5
geef me inputs voor de lengte en breedte van de rechthoek,6
wat is de omtrek van een rechthoek met de lengte = 5 en de breedte = 5,6
inpts voor de lengte en de omtrek van een rechthoek,6
I would like a challenging exersize for beginner programmers,6
I already have made something quite simmilar to this.. Do you have any other excersizes?,6
Cn you help me make a quiz?,6
Can you give me a topic for a quiz,6
Can you (properly) translate the question to Dutch,6
think of more questions,6
now give the questions without the programming,6
Give me the answers,6
maak een paar opdrachten zodat ik de while loop beter begrijp,6
add some questions and answers",6
'add some questions about javascript, typescript and its frameworks. add 5 questions.',6
kan je e code maken?,6
hoe kan ik een code runen?,6
heb jij nog leuke opdrachten om te oefenen met het maken van lijsten?,6
hoe doe ik de stelling van pytagoras,6
noem de straal van een willekeurige cirkel,6
kan je een oefen opdracht geven gebaseerd op all mijn notebooks,6
'kijk opdracht 1 tot en met 5 na, en kijk of de code werkt, ik hoef geen verbteringen te weten zolang de code werkt',6
kan je mijn opdrachten van "oefentoets.ipynb"" nakijken,6
'"score = 0nnquestions = ["-", ".", "+"]nnanswers = ["-", ".", "+"]nnfor i, question in enumerate(questions):nnuser_ans = input(f"What is {question}? ")nnif user_ans == answers[i]:nnscore += 1nnprint("Your final score is:", str(score) + "/" + str(len(answers)))nnadd some questions and answers"',6
leeftijd = input("Wat is je leeftijd?")n int (Leeftijd) print(leeftijd + 10),7
getal1 = 25 getal2 = 4 getal3 = int(input("Vul een getal in:")) totaal1 = getal1 * getal2 totaal2 = getal3 + getal2 totaal3 = totaal1 - totaal2,7
'print("hallo, ik ben", naam',7
'TypeError Traceback (most recent call last) Cell In[8], line 4 2 y = 10 3 z = "4" ----> 4 print(x + y + z) TypeError: unsupported operand type(s) for +: "int" and "str"',7
print("hoe heet je"),7
'"Cell In[9], line 1 Hoe heet je? name = input("Hoe heet je? ")^SyntaxError: invalid syntax"',7
'"Naam = input("Wat is je naam?") leeftijd = int(input("Hoe oud ben je?")) print("Hallo"[naam]", over 10 jaar ben je "[leeftijd + 10]" jaar oud")',7
'"Vragen-Antoowrden = ["vragen"("wat is mijn lievelings kleur?")"opties"("Blauw, Groen, Rood, Geel")"antwoord"("Rood")]"',7
getal1 = int(input("wat is getal 1? "))nngetal2 = int(input("wat is getal 2? "))nngetal3 = int(input("wat is getal 3? "))nnif getal1 > getal2 and getal1 > getal3:nn    print(f"het grootste getal is {getal1}")nnelif getal2 > getal1 and getal2 > getal3:nn    print(f"het grootste getal is {getal2}")nnelif getal3 > getal1 and getal3 > getal2:nn    print(f"het grootste getal is {getal3}")nnelif getal1 == getal2 and getal1 != getal3:nn    print(f"het grootste getal is {getal1}")nnelif getal1 == getal2 and getal1 == getal3:nn    print(f"het grootste getal is {getal1}")nnelif getal1 != getal2 and getal2 == getal3:nn    print(f"het grootste getal is {getal2}")nnelif getal1 > getal2 and getal1 == getal3:nn    print(f"het grootste getal is {getal1}"),7
'gok = input("Wat is het wachtwoord?")nnif gok != "123qwert": nn    print("Incorrect wachtwoord, probeer het opnieuw!")nnif gok == wachtwoord:nn    print("Correct wachtwoord, je bent ingelogd!")',7
'import randomnnrandom_getal = random.randint(1, 100)nngok = int(input("Welk getal tussen de 1 en 100 heb ik nu in mijn hoofd?"))nnwhile gok > random_getal:nn    n    if gok < random_getal:nn        print("te laag")nn        gok = int(input("Welk getal tussen de 1 en 100 heb ik nu in mijn hoofd?"))nn    if gok == random_getal:nn        print("Goed!")',7
'import randomnncounter = 1nnrandom_getal = random.randint(1, 100)nngok = int(input("Welk getal tussen de 1 en 100 heb ik nu in mijn hoofd?"))nnwhile gok != random_getal:nn    if gok < random_getal:nn        print("te laag")nn    elif gok > random_getal:nn        print("te hoog")nn        counter += 1nn    gok = int(input("Welk getal tussen de 1 en 100 heb ik nu in mijn hoofd?"))nnprint("Goed!")nnprint(f"het kostte je {counter} kansen")',7
'import randomnnrandom_getal = random.randint(1, 100)nncounter = 0nngok = int(input("Welk getal tussen de 1 en 100 heb ik nu in mijn hoofd?"))nnwhile gok != random_getal:nn    counter += 1nn    if gok < random_getal:nn        print("te laag")nn    n    elif gok > random_getal:nn        print("te hoog")nn    else:nn        print("Goed!")nnprint(f"het kostte je {counter} kansen")',7
'games = ["Minecraft", "Rust", "GTA V", "Hayday", "Clash of clans"]nngames.append("Super Mario Bros")nngetal = int(input("geef en getal tussen de 0 en 5: "))nnprint(games [getal])nnvraag = input("welke game speel jij graag? ")nnif vraag in games:nn    games.remove(vraag)nnelse:nn    games.append(vraag)',7
getallen = []nncounter = 0nnwhile (getallen) <= 10:nn    counter += 1nn    print(getallen),7
getallen = []nncounter = 0nnwhile (counter) <= 10:nn    getal = 1nn    getallen.append(getal)nn    counter = counter + 1nn    print(getallen),7
for i in range(len(vragen)):nn    antwoord = input(vragen[i] + " ")nn    if antwoord.lower() == antwoorden[i].lower():nn        score += 1nn        print("goedzo")nn    else:nn        print("fout"),7
hoogte = input("wat is de hoogte?")nnbreedte = input("wat is de hoogte?")nnif hoogte == breedte:nn    print("het is een vierkant")nnelse:nn    print("het is een rechthoek")nnoppervlakte = hoogte * breedte nnprint ("oppervlakte"),7
getallen = []nni = 1nnWhile i <= 10:nn    print (i),7
Hoi,8
Test,8
test test,8
hoi,8
hoi,8
wat is fout aan deze code kgsbrajkmnocdjbhshuicwuiwe,8
hoi hoe gaat het,8
hoi,8
"Vraag in de code cel hieronder om de naam van de gebruiker van je programma en probeer deze naam vervolgens te printen." ik snapo deze vraag niet,9
hoe moet ik verder bij deze opdracht,9
